cid	formula	can_smiles
16684798	H4O12V4	O[V]1(=O)O[V](=O)(O[V](=O)(O[V](=O)(O1)O)O)O
3393379	O12V4	[O-][V]1(=O)O[V](=O)(O[V](=O)(O[V](=O)(O1)[O-])[O-])[O-]
21733144	C10H19N5O12P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O.O.[V]
56947152	C10H23N5O14P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O.O.O.O.[V]
49874351	C10H19N5O12P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O.O.[V]
25113609	C10H21N5O13P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O.O.O.[V]
447102	C10H19N5O12P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O.O.[V]
21733139	C9H18N2O9V	C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O.O.O.O.[V]
49874327	C9H18N2O9V	C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O.O.O.O.[V]
446487	C9H18N2O9V	C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O.O.O.O.[V]
16664608	C19H22FN3O4V	CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F.[O-2].[V+2]
22833759	C46H64N16O35P4V	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OC3C(OC(C3O)N4C=CC(=O)NC4=O)CO)OP(=O)(O)OCC5C(C(C(O5)N6C=CC(=NC6=O)N)O)OP(=O)(O)OCC7C(C(C(O7)N8C=CC(=NC8=O)N)O)OP(=O)(O)OCC9C(C(C(O9)N1C=NC2=C1N=CN=C2N)O)O)O.O.O.[V]
16122600	C46H64N16O35P4V	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OC3C(OC(C3O)N4C=CC(=O)NC4=O)CO)OP(=O)(O)OCC5C(C(C(O5)N6C=CC(=NC6=O)N)O)OP(=O)(O)OCC7C(C(C(O7)N8C=CC(=NC8=O)N)O)OP(=O)(O)OCC9C(C(C(O9)N1C=NC2=C1N=CN=C2N)O)O)O.O.O.[V]
42601592	C30H20O15V	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O.[O-2].[V+4]
46898004	C29H52O4V	CC1=C(C(=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O.O.[O-2].[V+2]
4473609	C10H15N5O12P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O=[V]=O
50921532	C10H15N5O12P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O=[V]=O
46936447	C10H15N5O12P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O=[V]=O
25199738	C10H15N5O12P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O=[V]=O
5287716	C10H15N5O12P2V	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O.O=[V]=O
21733131	C6H19O12PV	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O.O.O.O.[V]
