cid	formula	can_smiles
11980691	C126H112Au8P7	C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.[Au].[Au].[Au].[Au].[Au].[Au].[Au].[Au]
11980588	C72H64AuP4	C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
11389062	C42H34Au2P2	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=C[C-]=CC=[C-]1.[Au+].[Au+]
11251688	C42H34Au2P2	C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=C[C-]=C[C-]=C1.[Au+].[Au+]
10310892	C19H18AuP	[CH3-].C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
50933958	C52H56AuP4	C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.[Au+]
50933842	C54H48AuP3	C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
50931151	C16H23AuP	[CH3-].[CH3-].[CH3-].C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.[Au+3]
50910913	C24H20Au2P2	C1=CC=C(C=C1)[P-]C2=CC=CC=C2.C1=CC=C(C=C1)[P-]C2=CC=CC=C2.[Au].[Au]
44144554	C16H23AuP	[CH3-].[CH3-].[CH3-].C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.[Au]
6327558	C16H23AuP	[CH3-].[CH3-].[CH3-].C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.[Au+3]
23509280	C18H35AuO2	CCCCCCCCCCCCCCCCCC(=O)[O-].[Au+]
23509279	C22H43AuO2	CCCCCCCCCCCCCCCCCCCCCC(=O)[O-].[Au+]
21421781	C16H31AuO2	CCCCCCCCCCCCCCCC(=O)[O-].[Au+]
20558246	C12H23AuO2	CCCCCCCCCCCC(=O)[O-].[Au+]
19763825	C8H15AuO2	CCCCC(CC)C(=O)[O-].[Au+]
19763824	C10H19AuO2	CCCCCCCCCC(=O)[O-].[Au+]
19763822	C8H15AuO2	CCCCCCCC(=O)[O-].[Au+]
18448841	C14H27AuO2	CCCCCCCCCCCCCC(=O)[O-].[Au+]
11114825	C24H48AuO6	CCCCC(CC)C(=O)O.CCCCC(CC)C(=O)O.CCCCC(CC)C(=O)O.[Au]
44396723	C21H36AuClF6N3P2	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.C[PH+](C)C.F[P-](F)(F)(F)(F)F.[Au]
21422841	C5H10AuNS2	CCN(CC)C(=S)[S-].[Au+]
19021126	C3H7AuNO2	CC(C(=O)O)N.[Au+]
17814567	C6H11AuO3	[CH3-].[CH3-].CC(=O)CC(=O)[O-].[Au+3]
18799123	C4H7AuO2	CCCC(=O)[O-].[Au+]
25141921	C16H36AuCl4N	CCCC[N+](CCCC)(CCCC)CCCC.[Cl-].[Cl-].[Cl-].[Cl-].[Au+3]
19021118	C2H5AuNO2	C(C(=O)O)N.[Au+]
18799106	C2H4AuNO2	C(C(=O)[O-])N.[Au+]
10085480	C2H5AuNO3	C(C(=O)[O-])N.[OH-].[Au]
22836589	C12H25AuS	CCCCCCCCCCCC[S-].[Au+]
22450835	C36H75AuS3	CCCCCCCCCCCC[S-].CCCCCCCCCCCC[S-].CCCCCCCCCCCC[S-].[Au+3]
21118105	C8H18AuS	CCCCCCCCS.[Au+]
18448840	C3H5AuO3	CC(C(=O)[O-])O.[Au+]
16218111	C12H25AuS	CCCCCCCCCCCC[S-].[Au+]
16218110	C8H17AuS	CCCCCCCC[S-].[Au+]
6451958	C36H75AuS3	CCCCCCCCCC(C)(C)[S-].CCCCCCCCCC(C)(C)[S-].CCCCCCCCCC(C)(C)[S-].[Au+3]
161523	C12H25AuS	CCCCCCCCCC(C)(C)[S-].[Au+]
109858	C48H99AuS3	CC(C)(C)CCCCCCCCCC(C)(C)[S-].CC(C)(C)CCCCCCCCCC(C)(C)[S-].CC(C)(C)CCCCCCCCCC(C)(C)[S-].[Au+3]
106185	C8H17AuS	CCCCCCCC[S-].[Au+]
4479093	C4H3AuO4S	C(C(C(=O)[O-])[S-])C(=O)[O-].[Au+]
42636179	C4H6AuO4S	C(C(C(=O)O)S)C(=O)O.[Au]
16063803	C4H6AuO4S	C(C(C(=O)O)S)C(=O)O.[Au+]
25203912	C8H10AuO8S2	C(C(C(=O)O)[S-])C(=O)O.C(C(C(=O)O)[S-])C(=O)O.[Au+]
24944320	C4H3AuO4S	C(C(C(=O)[O-])[S-])C(=O)[O-].[Au+]
9547902	C4H5AuO4S	C(C(C(=O)O)[S-])C(=O)O.[Au+]
6102083	C4H5AuO4S	C(C(C(=O)O)[S-])C(=O)O.[Au+]
454938	C8H10AuO8S2	C(C(C(=O)O)[S-])C(=O)O.C(C(C(=O)O)[S-])C(=O)O.[Au+]
422786	C4H5AuO4S	C(C(C(=O)O)[S-])C(=O)O.[Au+]
134577	C4H5AuO4S	C(C(C(=O)[O-])S)C(=O)O.[Au+]
22311596	C6H11AuO5	CC(C)C(=O)[O-].CC(=O)[O-].[OH-].[Au+]
22141734	C2Au2O4	C(=O)(C(=O)[O-])[O-].[Au+].[Au+]
6397719	C36H33Au2P2S	C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[PH+](C2=CC=CC=C2)C3=CC=CC=C3.[SH-].[Au].[Au+]
6390164	C15H15AuP	C[PH+](C1=CC=CC=C1)C2=CC=CC=C2.C#[C-].[Au+]
44134474	C20H18AuP	C=[CH-].C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Au+]
