cid	formula	can_smiles
45141464	C5H10N2O7P2Sm	C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O.[Sm]
50909309	C24H21F9O6S3Sm	C1=CSC(=C1)C(=[OH+])CC(=[OH+])C(F)(F)F.C1=CSC(=C1)C(=[OH+])CC(=[OH+])C(F)(F)F.C1=CSC(=C1)C(=[OH+])CC(=[OH+])C(F)(F)F.[Sm]
24194846	C24H15F9O6S3Sm	C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F.C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F.C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F.[Sm]
3084182	C24H21F9O6S3Sm	C1=CSC(=C1)C(=[OH+])CC(=[OH+])C(F)(F)F.C1=CSC(=C1)C(=[OH+])CC(=[OH+])C(F)(F)F.C1=CSC(=C1)C(=[OH+])CC(=[OH+])C(F)(F)F.[Sm]
425455	C24H15F9O6S3Sm	C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F.C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F.C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F.[Sm]
11377326	C21H21O9S3Sm	CC1=CC=C(C=C1)S(=O)(=O)[O-].CC1=CC=C(C=C1)S(=O)(=O)[O-].CC1=CC=C(C=C1)S(=O)(=O)[O-].[Sm+3]
25022140	C21H15O6Sm	C1=CC=C(C=C1)C(=O)[O-].C1=CC=C(C=C1)C(=O)[O-].C1=CC=C(C=C1)C(=O)[O-].[Sm+3]
21127197	C6H6O7Sm	C(C(=O)O)C(CC(=O)[O-])(C(=O)[O-])O.[Sm]
21127196	C12H10O14Sm3	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Sm].[Sm].[Sm]
202663	C6H5O7Sm	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Sm+3]
50918109	C27H15Cl6N3O3Sm	C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.[Sm]
4447609	C27H15Cl6N3O3Sm	C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.[Sm]
9988574	C54H105O6Sm	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Sm+3]
9940315	C36H72O6Sm	CCCCCCCCCCCC(=O)O.CCCCCCCCCCCC(=O)O.CCCCCCCCCCCC(=O)O.[Sm]
22482926	C16H30O4Sm	CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sm]
21116271	C8H15O2Sm	CCCCC(CC)C(=O)[O-].[Sm+3]
21116270	C24H45O6Sm	CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sm]
86833	C24H45O6Sm	CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sm+3]
21119257	C10H12N2O8Sm2	C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Sm].[Sm]
11091798	C20H40O2Sm	CC1CCC(C(C1)O)C(C)C.CC1CCC(C(C1)O)C(C)C.[Sm]
114604	C10H13N2O8Sm	[H+].C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Sm+3]
11193670	C45H72O3Sm	CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C.CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C.CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C.[Sm]
11039208	C30H48O2Sm	CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C.CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C.[Sm]
10909135	C48H72KO4Sm	CC(C)C1=C(C(=CC=C1)C(C)C)O.CC(C)C1=C(C(=CC=C1)C(C)C)O.CC(C)C1=C(C(=CC=C1)C(C)C)O.CC(C)C1=C(C(=CC=C1)C(C)C)O.[K+].[Sm]
54607424	C4H11O3PSSm	CCOP(=S)(O)OCC.[Sm]
6099910	C15H30N3S6Sm	CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Sm+3]
3640985	C15H30N3S6Sm	CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Sm+3]
10165886	C14H23N3O10Sm	C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Sm+3]
23131979	C18H15O3Sm	C1=CC=C(C=C1)[O-].C1=CC=C(C=C1)[O-].C1=CC=C(C=C1)[O-].[Sm+3]
22462021	C4Cl6O4Sm	C(=O)(C(Cl)(Cl)Cl)[O-].C(=O)(C(Cl)(Cl)Cl)[O-].[Sm]
12461666	C6Cl9O6Sm	C(=O)(C(Cl)(Cl)Cl)[O-].C(=O)(C(Cl)(Cl)Cl)[O-].C(=O)(C(Cl)(Cl)Cl)[O-].[Sm+3]
22223379	C2H2O5Sm	C(=O)(C(=O)[O-])[O-].O.[Sm+3]
516800	C6H2O13Sm2	C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].O.[Sm+3].[Sm+3]
165093	C6O12Sm2	C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].[Sm+3].[Sm+3]
23615616	C2H6AsMgO2	C[As](=O)(C)[O-].[Mg+2]
54598359	C2H7AsMgO2	C[As](=O)(C)O.[Mg+2]
9812638	C49H65N3Na5O26P4Sm	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O.C(CN(CP(=O)([O-])[O-])CP(=O)([O-])[O-])N(CP(=O)([O-])[O-])CP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Sm+3]
19087566	C12H27O3Sm	CCCC[O-].CCCC[O-].CCCC[O-].[Sm+3]
44154403	C6H9O6Sm	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Sm]
23618958	C2H3O2Sm	CC(=O)[O-].[Sm+3]
23363254	C2H5O3Sm	CC(=O)[O-].O.[Sm]
22713097	C2H11O6Sm	CC(=O)[O-].O.O.O.O.[Sm]
