cid	formula	can_smiles
6330650	C48H52GeN16O8S4	CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.[Ge]
50931801	C48H52GeN16O8S4	CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.[Ge]
9801268	C14H10GeN2O8	C1=CC(=NC(=C1)C(=O)O)C(=O)O.C1=CC(=NC(=C1)C(=O)O)C(=O)O.[Ge]
22013849	C14H6GeN2O8	C1=CC(=NC(=C1)C(=O)[O-])C(=O)[O-].C1=CC(=NC(=C1)C(=O)[O-])C(=O)[O-].[Ge]
6711702	C27H27GeN3O9	C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.[Ge]
6368504	C27H33GeN3O9	C1=CC(=CC=C1CC(C(=O)[OH2+])[NH-])O.C1=CC(=CC=C1CC(C(=O)[OH2+])[NH-])O.C1=CC(=CC=C1CC(C(=O)[OH2+])[NH-])O.[Ge]
50937238	C27H27GeN3O9	C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.[Ge]
50932949	C27H33GeN3O9	C1=CC(=CC=C1CC(C(=O)[OH2+])[NH-])O.C1=CC(=CC=C1CC(C(=O)[OH2+])[NH-])O.C1=CC(=CC=C1CC(C(=O)[OH2+])[NH-])O.[Ge]
20848884	C11H13GeI3N2O4	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I.[GeH4]
20835913	C32H28GeO12	C1=CC=C(C=C1)C(C(=O)[O-])O.C1=CC=C(C=C1)C(C(=O)[O-])O.C1=CC=C(C=C1)C(C(=O)[O-])O.C1=CC=C(C=C1)C(C(=O)[O-])O.[Ge]
20848872	C9H12GeO4	CC(=O)OC1=CC=CC=C1C(=O)O.[GeH4]
6334466	C27H27GeN3NaO9	C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.[Na+].[Ge]
50932107	C27H27GeN3NaO9	C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.C1=CC(=CC=C1CC(C(=O)[O-])[NH-])O.[Na+].[Ge]
6711700	C18H33GeN3O6	CC(C)CC(C(=O)[O-])[NH-].CC(C)CC(C(=O)[O-])[NH-].CC(C)CC(C(=O)[O-])[NH-].[Ge]
6372000	C18H39GeN3O6	CC(C)CC(C(=O)[OH2+])[NH-].CC(C)CC(C(=O)[OH2+])[NH-].CC(C)CC(C(=O)[OH2+])[NH-].[Ge]
50937236	C18H33GeN3O6	CC(C)CC(C(=O)[O-])[NH-].CC(C)CC(C(=O)[O-])[NH-].CC(C)CC(C(=O)[O-])[NH-].[Ge]
50933433	C18H39GeN3O6	CC(C)CC(C(=O)[OH2+])[NH-].CC(C)CC(C(=O)[OH2+])[NH-].CC(C)CC(C(=O)[OH2+])[NH-].[Ge]
6373313	C10H24GeNO3	C[CH2-].C[CH2-].C[CH2-].CC(=O)[NH2+]CC(=O)[OH2+].[Ge]
6371841	C10H23GeNO3	C[CH2-].C[CH2-].C[CH2-].CC(=O)NCC(=O)[OH2+].[Ge]
6331277	C10H21GeNO3	C[CH2-].C[CH2-].C[CH2-].CC(=O)NCC(=O)[O-].[Ge]
50933850	C10H24GeNO3	C[CH2-].C[CH2-].C[CH2-].CC(=O)[NH2+]CC(=O)[OH2+].[Ge]
50933389	C10H23GeNO3	C[CH2-].C[CH2-].C[CH2-].CC(=O)NCC(=O)[OH2+].[Ge]
50931842	C10H21GeNO3	C[CH2-].C[CH2-].C[CH2-].CC(=O)NCC(=O)[O-].[Ge]
53329652	C6H18GeO24P6	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O.[Ge]
6711701	C15H27GeN3O6S3	CSCCC(C(=O)[O-])[NH-].CSCCC(C(=O)[O-])[NH-].CSCCC(C(=O)[O-])[NH-].[Ge]
6369887	C15H33GeN3O6S3	CSCCC(C(=O)[OH2+])[NH-].CSCCC(C(=O)[OH2+])[NH-].CSCCC(C(=O)[OH2+])[NH-].[Ge]
50937237	C15H27GeN3O6S3	CSCCC(C(=O)[O-])[NH-].CSCCC(C(=O)[O-])[NH-].CSCCC(C(=O)[O-])[NH-].[Ge]
50933007	C15H33GeN3O6S3	CSCCC(C(=O)[OH2+])[NH-].CSCCC(C(=O)[OH2+])[NH-].CSCCC(C(=O)[OH2+])[NH-].[Ge]
20056782	C6H14GeO8	C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O.[GeH4]
