cid	formula	can_smiles
6334999	GaH3N3O9	[N+](=O)(O)[O-].[N+](=O)(O)[O-].[N+](=O)(O)[O-].[Ga]
45139144	C33H35CaFGaN2O5	CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2].[Ga+3]
24997985	Ga3NO3	[N+](=O)([O-])[O-].[Ga].[Ga].[Ga]
22352667	GaH2NO4	[N+](=O)([O-])[O-].O.[Ga+3]
21931976	GaH18NO12	[N+](=O)([O-])[O-].O.O.O.O.O.O.O.O.O.[Ga+3]
21867764	GaNO3	[N+](=O)([O-])[O-].[Ga+3]
21216976	GaH12NO9	[N+](=O)([O-])[O-].O.O.O.O.O.O.[Ga+3]
18929307	GaH16NO11	[N+](=O)([O-])[O-].O.O.O.O.O.O.O.O.[Ga+3]
11531798	GaH21N3O18	[N+](=O)(O)[O-].[N+](=O)(O)[O-].[N+](=O)(O)[O-].O.O.O.O.O.O.O.O.O.[Ga]
25199867	GaH21N3O18	[N+](=O)(O)[O-].[N+](=O)(O)[O-].[N+](=O)(O)[O-].O.O.O.O.O.O.O.O.O.[Ga]
24840568	GaH10N3O14	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.[Ga+3]
24840567	GaH16N3O17	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.O.O.[Ga+3]
16211597	GaH3NO4	[N+](=O)(O)[O-].O.[Ga]
11550823	GaH2N3O10	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.[Ga+3]
9859946	GaH3N3O9	[N+](=O)(O)[O-].[N+](=O)(O)[O-].[N+](=O)(O)[O-].[Ga]
6711183	GaHNO3	[N+](=O)(O)[O-].[Ga]
6337243	GaH21N3O18	[N+](=O)(O)[O-].[N+](=O)(O)[O-].[N+](=O)(O)[O-].O.O.O.O.O.O.O.O.O.[Ga]
5282394	GaH18N3O18	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.O.O.O.[Ga+3]
61635	GaN3O9	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ga+3]
51038726	C54H57F3GaN9O12	CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)[O-].CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)[O-].CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)[O-].[Ga+3]
51038503	C54H57F3GaN9O12	CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)[O-].CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)[O-].CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)[O-].[Ga+3]
51036589	C63H69F3GaN9O12	COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)[O-].COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)[O-].COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)[O-].[Ga+3]
51038727	C54H57F3GaN15O12	CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)[O-])F.CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)[O-])F.CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)[O-])F.[Ga+3]
51037837	C60H42F9GaN12O9	C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)[O-])F.C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)[O-])F.C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)[O-])F.[Ga+3]
51037221	C57H63F3GaN9O12	CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)[O-])C4CC4)F.CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)[O-])C4CC4)F.CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)[O-])C4CC4)F.[Ga+3]
51036792	C45H48F3GaN12O9	CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)[O-].CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)[O-].CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)[O-].[Ga+3]
51035765	C57H63F6GaN12O9	CC1CN(CC(N1)C)C2=C(C3=C(C(=C2F)N)C(=O)C(=CN3C4CC4)C(=O)[O-])F.CC1CN(CC(N1)C)C2=C(C3=C(C(=C2F)N)C(=O)C(=CN3C4CC4)C(=O)[O-])F.CC1CN(CC(N1)C)C2=C(C3=C(C(=C2F)N)C(=O)C(=CN3C4CC4)C(=O)[O-])F.[Ga+3]
51035552	C57H63F3GaN9O9	CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)[O-])C4CC4)C)F.CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)[O-])C4CC4)C)F.CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)[O-])C4CC4)C)F.[Ga+3]
4532978	C27H18Cl3GaI3N3O3	C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.[Ga+3]
3586945	C27H18Cl3GaI3N3O3	C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.[Ga+3]
25009413	C18H10Cl2GaI2N2O2	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1.[Ga+3]
25009412	C18H10Cl2GaI2N2O2	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1.[Ga+3]
25002409	C9H5ClGaINO	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1.[Ga+3]
25002408	C9H5ClGaINO	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1.[Ga+3]
11355118	C27H12Cl3GaI3N3O3	C1=CC2=C(C(=C(C=C2Cl)I)[O-])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[O-])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[O-])N=C1.[Ga+3]
10361999	C9H5ClGaINO	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1.[Ga]
10078245	C18H8Cl2GaI2N2O2	C1=CC2=C(C(=C(C=C2Cl)I)[O-])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[O-])N=C1.[Ga]
10044815	C9H5ClGaINO	C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1.[Ga]
10032462	C18H8Cl2GaI2N2O2	C1=CC2=C(C(=C(C=C2Cl)I)[O-])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[O-])N=C1.[Ga]
50932313	C27H18Cl3GaI3N3O3	C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.[Ga]
50909935	C27H18Cl3GaI3N3O3	C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.C1=CC2=C(C(=C(C=C2Cl)I)[OH2+])N=C1.[Ga+3]
