cid	formula	can_smiles
50911948	C27H15Cl6DyN3O3	C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.[Dy]
4061991	C27H15Cl6DyN3O3	C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1.[Dy]
11456640	C21H21DyO9S3	CC1=CC=C(C=C1)S(=O)(=O)[O-].CC1=CC=C(C=C1)S(=O)(=O)[O-].CC1=CC=C(C=C1)S(=O)(=O)[O-].[Dy+3]
56941989	C10H16DyN2O8	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Dy+3]
170849	C6H11DyO7	C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Dy]
25679	C6H5DyO7	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Dy+3]
18364354	C6H6DyNO6	C(C(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Dy+3]
24740361	C54H105DyO6	CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Dy+3]
22482907	C24H45DyO6	CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Dy+3]
22222029	C24H45DyO6	CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Dy+3]
16213069	C6H2Dy2O13	C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].O.[Dy+3].[Dy+3]
25021601	C6H20Dy2O22	C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].O.O.O.O.O.O.O.O.O.O.[Dy+3].[Dy+3]
164743	C6Dy2O12	C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].C(=O)(C(=O)[O-])[O-].[Dy+3].[Dy+3]
10393102	C17H29DyN4O7	CC(CN1CCN(CCN(CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])O.[Dy+3]
72052	C16H26DyN5O8	CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Dy+3]
10419116	C42H54Dy5N9O30	C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Dy+3].[Dy+3].[Dy+3].[Dy+3].[Dy+3]
5178968	C6H12DyO6	CC(=O)O.CC(=O)O.CC(=O)O.[Dy]
22902808	C2H11DyO6	CC(=O)[O-].O.O.O.O.[Dy+3]
22836371	C6H14DyO7	CC(=O)O.CC(=O)O.CC(=O)O.O.[Dy]
22482910	C2H3DyO2	CC(=O)[O-].[Dy+3]
21945726	C2H5DyO3	CC(=O)[O-].O.[Dy+3]
19013752	C6H11DyO7	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].O.[Dy+3]
50919865	C6H12DyO6	CC(=O)O.CC(=O)O.CC(=O)O.[Dy]
24884366	C6H17DyO10	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].O.O.O.O.[Dy+3]
16212050	C6H14DyO7	CC(=O)O.CC(=O)O.CC(=O)O.O.[Dy]
167746	C6H9DyO6	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Dy+3]
6395138	C28H46Dy2N6O20	C(CN(CC(O)[O-])CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)O)CC(=O)O.C(CN(CC(O)[O-])CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Dy+3].[Dy+3]
50933663	C28H46Dy2N6O20	C(CN(CC(O)[O-])CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)O)CC(=O)O.C(CN(CC(O)[O-])CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Dy+3].[Dy+3]
25199645	C14H18DyN3Na2O10	C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Dy+3]
122018	C14H18DyN3Na2O10	C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Dy+3]
18415177	C9H21DyO6	COCC[O-].COCC[O-].COCC[O-].[Dy+3]
5256798	C42H102Dy3O21	C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.O.O.O.O.O.O.O.O.O.[Dy].[Dy].[Dy]
50920735	C42H102Dy3O21	C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.C1CCC(CC1)C(O)O.O.O.O.O.O.O.O.O.O.[Dy].[Dy].[Dy]
16212895	Cl3DyH2O13	O.[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[Dy+3]
14671408	DyO4P	[O-]P(=O)([O-])[O-].[Dy+3]
13767046	Cl3DyO12	[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[O-]Cl(=O)(=O)=O.[Dy+3]
