cid	formula	can_smiles
19892573	C16H21ClN2O5Ti	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3.O.O.O.O.[Ti]
50897056	C34H32N4O4Ti	CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C)CCC(=O)O)CCC(=O)O.[Ti+2]
472091	C34H32N4O4Ti	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)CCC(=O)O)C)C(=C3C)C=C)C=C.[Ti+2]
3552456	C30H42N12O24P3Ti	C1=NC(=[OH+])C2=C(N1)[N+](=CN2)C3C(C(C(O3)COP(=[OH+])(O)[O-])O)O.C1=NC(=[OH+])C2=C(N1)[N+](=CN2)C3C(C(C(O3)COP(=[OH+])(O)[O-])O)O.C1=NC(=O)C2=C(N1)[N+](=CN2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O.[Ti]
50910739	C30H42N12O24P3Ti	C1=[NH+]C(=O)C2=C(N1)[N+](=CN2)C3C(C(C(O3)COP(=[OH+])(O)[O-])O)O.C1=[NH+]C(=O)C2=C(N1)[N+](=CN2)C3C(C(C(O3)COP(=[OH+])(O)[O-])O)O.C1=NC(=O)C2=C(N1)[N+](=CN2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O.[Ti]
50937272	C24H20O8Ti	CC[O-].CC[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].[Ti]
50937251	C26H24O8Ti	CC(C)[O-].CC(C)[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].[Ti]
50937248	C32H28O8Ti	CC[O-].CC(=O)C=C(C1=CC=CC=C1)[O-].CC(=O)C=C(C1=CC=CC=C1)[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].[Ti]
49873436	C32H28O8Ti	CC[O-].CC(=O)C=C(C1=CC=CC=C1)[O-].CC(=O)C=C(C1=CC=CC=C1)[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].[Ti+4]
6097446	C24H20O8Ti	CC[O-].CC[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].[Ti+4]
6097437	C26H24O8Ti	CC(C)[O-].CC(C)[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].C1=CC=C2C(=C1)C(=CC(=O)C2=O)[O-].[Ti+4]
20545934	C6H9N3O2Ti	C1=C(NC=N1)CC(C(=O)O)N.[Ti+2]
54710615	C6H8CuO6Ti	C(C(C1C(=C(C(=O)O1)O)O)O)O.[Ti].[Cu]
11613145	C18H26Cl5N3Ti	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4]
6098208	C26H53N3O6STi	CCC[CH2-].CCC[CH2-].CCC[CH2-].CCC[CH2-].C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N.[Ti+4]
244110	C26H53N3O6STi	CCC[CH2-].CCC[CH2-].CCC[CH2-].CCC[CH2-].C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N.[Ti+4]
56843342	C20H28N4O12Ti	C1CC(=O)NC1C(=O)O.C1CC(=O)NC1C(=O)O.C1CC(=O)NC1C(=O)O.C1CC(=O)NC1C(=O)O.[Ti]
