cid	formula	can_smiles
6394227	H2MoO3	O[Mo](=O)O
139271	MoO3	[O-][Mo](=O)[O-]
24800901	C38H42F4MoN8O8	CC1CN(CC(N1)C)C2=C(C3=C(C(=C2F)N)C(=O)C(=CN3C4CC4)C(=O)[O-])F.CC1CN(CC(N1)C)C2=C(C3=C(C(=C2F)N)C(=O)C(=CN3C4CC4)C(=O)[O-])F.[O-2].[O-2].[Mo]
24800902	C38H42F2MoN6O8	CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)[O-])C4CC4)F.CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)[O-])C4CC4)F.[O-2].[O-2].[Mo]
6323419	C10H12MoN5O7PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo]
49867331	C10H12MoN5O7PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo]
23304236	C10H12MoN5O7PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo]
50932368	C10H12MoN5O7PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo]
56928099	C10H12MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo+2]=O
50932369	C10H12MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo+2]=O
46936855	C10H13MoN5O8PS3	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo]=O.[SH-]
25202532	C10H10MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=O
23304237	C10H12MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo+2]=O
6323423	C10H12MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo+2]=O
23304238	C10H13MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O[Mo]=O
50932370	C10H13MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O[Mo]=O
46936308	C10H10MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].[O-][Mo]=O
6323424	C10H13MoN5O8PS2	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O[Mo]=O
53481396	C10H12MoN5O7PS3	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo+2]=S
25201438	C10H10MoN5O7PS3	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)([O-])[O-].O=[Mo+2]=S
9832091	C28H36MoN2O4PW	CCNC1=C(C=C2C(=C1)OC3=CC(=[NH+]CC)C(=CC3=C2C4=CC=CC=C4C(=O)OCC)C)C.O.P.[Mo].[W]
22834045	C15H15MoN12S3	C1=[NH+]C(=S)C2=C(N1)N=CN2.C1=[NH+]C(=S)C2=C(N1)N=CN2.C1=[NH+]C(=S)C2=C(N1)N=CN2.[Mo]
16132568	C15H15MoN12S3	C1=NC2=C(N1)NC=NC2=[SH+].C1=NC2=C(N1)NC=NC2=[SH+].C1=NC2=C(N1)NC=NC2=[SH+].[Mo]
53462979	C10H20MoN2O2P	CN1CCCC1C2=CN=CC=C2.O.[OH-].P.[Mo]
175963	C10H20MoN2O2P	CN1CCCC1C2=CN=CC=C2.O.[OH-].P.[Mo]
